index,count,rel_count
Les Echos,3696,0.07836983948601599
L'Usine Nouvelle,3110,0.06594431839867687
La Tribune,1984,0.04206865842539386
Le Figaro,1683,0.03568626619452514
Le Monde,1675,0.03551663450732597
Ouest France,1395,0.02957952545535506
IT for Business,891,0.018892729161807426
Sciences et Avenir,879,0.018638281631008672
L'AGEFI,818,0.01734484001611501
Sud Ouest,799,0.016941964759016985
Aujourd'hui en France,776,0.016454273658319373
Industrie et Technologies,728,0.01543648353512436
Le Point,727,0.015415279574224465
Libération,675,0.014312673607429868
Midi Libre,656,0.013909798350331843
La Provence,584,0.012383113165539323
Boursier,541,0.01147134284684379
Challenges,536,0.01136532304234431
Le Télégramme Bretagne,529,0.011216895316045037
L'Obs,523,0.01108967155064566
Le Progrès Lyon,501,0.010623184410847947
20 Minutes,475,0.010071881427450647
La Correspondance de la Publicité,464,0.00983863785755179
E marketing,461,0.009775025974852102
Stratégies,445,0.009435762600453765
mind Health,427,0.009054091304255635
LSA,420,0.008905663577956363
L'Express,411,0.008714827929857297
Capital Finance,408,0.00865121604715761
Le Journal du Net JDN,403,0.00854519624265813
Le Parisien,396,0.008396768516358856
ElectroniqueS,381,0.008078709102860415
L'Est Républicain,370,0.007845465532961558
Le Quotidien du Médecin,356,0.007548610080363012
Option Finance,351,0.0074425902758635315
L'Indépendant,338,0.007166938784164882
La Croix,337,0.007145734823264986
Atlantico,316,0.006700451644367168
AFP Infos Economiques,282,0.0059795169737707
Cercle Finance,280,0.005937109051970908
01 net,263,0.005576641716672675
Relation Client,262,0.0055554377557727784
L'Argus de l'assurance,256,0.005428213990373402
La Montagne,249,0.005279786264074129
Silicon,241,0.0051101545768749606
Emerce,239,0.005067746655075168
mind Fintech,231,0.004898114967875999
Télérama,209,0.004431627828078285
TOM,196,0.0041559763363796355
Agence Option Finance AOF,186,0.003943936727380675
